url	date	company	role	status
https://www.careers.vic.gov.au/job/classroom-teacher-science-noble-park	2026-05-05	Noble Park SC	Classroom Teacher Science	added
https://www.careers.vic.gov.au/job/classroom-teacher-science-cbd	2026-05-05	Govt School CBD	Classroom Teacher Science	added
https://www.careers.vic.gov.au/job/classroom-teacher-science-7-10-65536	2026-05-06	Brentwood SC	Classroom Teacher Science 7-10	added
https://www.careers.vic.gov.au/job/classroom-teacher-science-65648	2026-05-06	Brighton SC	Classroom Teacher Science	added
https://www.careers.vic.gov.au/job/science-7-10-vce-chemistry-65790	2026-05-07	Elwood College	Science 7-10 VCE Chemistry	added
https://www.mentonegrammar.net/community/employment/physics-vce	2026-05-08	Mentone Grammar	Physics VCE & Science	added
https://www.mentonegirls.vic.edu.au/about/employment/teacher-science/	2026-05-08	Mentone Girls Grammar	Teacher Science	added
https://www.careers.vic.gov.au/job/vce-biology-science-teacher-st-bedes	2026-05-09	St Bedes College	VCE Biology & Science	added
https://www.ivanhoegrammar.edu.au/careers/science-teacher	2026-05-10	Ivanhoe Grammar	Science Teacher	added
https://au.linkedin.com/jobs/view/science-biology-teacher-at-melbourne-girls-grammar-4293550498	2026-05-18	Melbourne Girls Grammar	Teacher of Science and Biology	added
https://www.seek.com.au/science-biology-teacher-tarneit	2026-05-18	DET Tarneit	Science/Biology Teacher	skipped_title
https://www.seek.com.au/secondary-science-teacher-2027-wollert	2026-05-18	Wollert SC	Secondary Science Teacher 2027	skipped_title
https://au.linkedin.com/jobs/view/science-teacher-at-tombolo-academy-4235825259	2026-05-18	Tombolo Academy	Science Teacher	added
https://www.kingswoodcollege.vic.edu.au/careers	2026-05-18	Kingswood College	Science Teacher	skipped_dup
https://www.seek.com.au/science-teacher-inner-se-melbourne-ongoing	2026-07-04	Unknown (agency)	Science Teacher ongoing immediate start	pending_url
https://www.seek.com.au/science-teacher-catholic-girls-term3	2026-06-21	Unknown (agency)	Science Teacher permanent Term 3	pending_url
